code	id	name	name_np	parent
2481	3075	Basbariya Rural Municipality	बसबरिया गाउँपालिका	2026
2482	3076	Kodena Rural Municipality	कोडैना गाउँपालिका	2026
2483	3077	Parsa Rural Municipality	पर्सा गाउँपालिका	2026
2374	2374	Manara Shisawa Municipaltiy	मनरा शिसवा नगरपालिका	2025
2356	2356	Bardibas  Municipaltiy	बर्दिबास नगरपालिका	2025
2375	2375	Matihani Municipaltiy	मटिहानी नगरपालिका	2025
2104	2104	Maee Municipality	माई नगरपालिका	2010
2112	2112	Mechinagar Municipality	मेचिनगर नगरपालिका	2019
2113	2113	Kankai municipality	कन्काई नगरपालिका	2019
2152	2152	Inaruwa Muncipality	ईनरूवा नगरपालिका	2021
2155	2155	Ramdhuni Municipality	रामधुनी नगरपालिका	2021
2506	2506	Barabise Municipality	बाह्रबिसे नगरपालिका	2034
2507	2507	Melamchi Municipality	मेलम्ची नगरपालिका	2034
3011	3011	Jaimini Municipality	जैमिनी नगरपालिका	2052
2139	2139	Tulshipur SMC	तुल्सीपुर उप-महानगरपालिका	2063
2145	2145	Ghorahi SMC	घोराही उप-महानगरपालिका	2063
2170	2170	Nepalgunj SMC	नेपालगंज उप-महानगरपालिका	2064
2675	2675	Dhangadi SMC	धनगढी उपमहानगरपालिका	2084
2595	2595	Kathmandu Metropolian	काठमाण्डौ महानगरपालिका	2042
2085	2085	Fungling Municipality	फुङलिङ नगरपालिका	2008
2102	2102	Ilam  Municipaltiy	ईलाम नगरपालिका	2010
2118	2118	Gauradaha Municipality	गौरादह नगरपालिका	2019
2128	2128	Belbari Municipality	बेलबारी  नगरपालिका	2020
2129	2129	Letang Municipality	लेटाङ नगरपालिका	2020
2130	2130	Rangali Muncipality	रगेली नगरपालिका	2020
2133	2133	Urlabari Municipaltiy	उर्लावारी नगरपालिका	2020
2134	2134	Sundarharicha Muncipality	सुन्दरहरैचा नगरपालिका	2020
2151	2151	Lamhi Municipality	लमही नगरपालिका	2063
2164	2164	Pakhirbas  Municipaltiy	पाख्र्रीबास नगरपालिका	2013
2172	2172	Kohalpur Municipality	कोहलपुर नगरपालिका	2064
2444	2444	Jiri Municipality	जिरी नगरपालिका	2030
2106	2106	Suryodaya Municipaltiy	सुर्योदय नगरपालिका	2010
2218	2218	Shidhicharana Municipality	सिद्धिचरण नगरपालिका	2017
2117	2117	Shivasataxi Municipality	शिबसताक्षी नगरपालिका	2019
2120	2120	Birtamoda Municipality	बिर्तामोड नगरपालिका	2019
2131	2131	Pathari Sanischare Municipality	पथरी शनीश्ररे नगरपालिका	2020
2135	2135	Sunbarsi Municipality	सुनर्बषी नगरपालिका	2020
2149	2149	Dharan Sub-Metropolitan City	धरान उप-महानगरपालिका	2021
2328	2328	Janakpurdham Sub-Metropolitan City	जनकपुरधाम उपमहानगरपालिका	2024
2317	2317	Butwal Sub-Metropolitan City	बुटवल उपमहानगरपालिका	2055
2267	2267	Katari Municipality	कटारी नगरपालिका	2018
2269	2269	Chaudadhigadi Municipality	चौदण्डीगढी नगरपालिका	2018
2271	2271	Triyuga Municipality	त्रियुगा नगरपालिका	2018
2272	2272	Belaka Municipality	वेलका नगरपालिका	2018
2289	2289	Guleriya Municipality	गुलेरिया नगरपालिका	2065
2292	2292	Barbardiya Municipality	बारबर्दिया नगरपालिका	2065
2293	2293	MADHUBAN MUNICIPALITY	मधुवन नगरपालिका	2065
2295	2295	RAJPUR MUNICIPALITY	राजापुर नगरपालिका	2065
2298	2298	Thakurbaba Municipality	ठाकुरबाबा नगरपालिका	2065
2301	2301	BANSGADHI MUNICIPALITY	बाँसगढी नगरपालिका	2065
2314	2314	Pyuthan Municipality	प्यूठान नगरपालिका	2062
2318	2318	Sorgadhawori Municipality	स्र्वगद्धारी नगरपालिका	2062
2320	2320	Sukhipur Municipaltiy	सुखीपुर नगरपालिका	2023
2323	2323	Devdaha Municipality	देवदह नगरपालिका	2055
2327	2327	Lumbini Saskrit Municipality	लुम्बिनी सांस्कृतिक नगरपालिका	2055
2330	2330	Sainamaina Municipality	सैनामैना नगरपालिका	2055
2340	2340	ROLPA MUNICIPALITY	रोल्पा नगरपालिका	2061
2365	2365	Siddharthanagar Municipality	सिद्धार्थनगर नगरपालिका	2055
2366	2366	Tilottama Municipality	तिलोत्तमा नगरपालिका	2055
2423	2423	MUSHIKOT MUNICIPALITY	मुसिकोट नगरपालिका	2059
2424	2424	RESUNGA MUNICIPALITY	रेसुङ्गा नगरपालिका	2059
2460	2460	Tansen Municipality	तानसेन नगरपालिका	2057
2476	2476	Bardaghat Municipality	बर्दघाट नगरपालिका	2054
2478	2478	Ramgram Municipality	रामग्राम नगरपालिका	2054
2479	2479	Sunabol Municipality	सुनवल नगरपालिका	2054
2495	2495	Buddhabhumi Municipality	बुद्धभुमी नगरपालिका	2056
2496	2496	Shivaraj Municipality	शिवराज नगरपालिका	2056
2497	2497	Maharajgunj Municipality	महाराजगंज नगरपालिका	2056
2505	2505	Chautara Sangachowkgadi Municipality	चौतारा साँगाचोकगढी नगरपालिका	2034
2509	2509	Amargadhi Municipality	अमरगढी नगरपालिका	2082
2510	2510	Parshuram Municipaltiy	परशुराम नगरपालिका	2082
2519	2519	Dashrathchand Muncipality	दशरथचन्द नगरपालिका	2081
2520	2520	Patan Municipaltiy	पाटन नगरपालिका	2081
2521	2521	Melauli Municipality	मेलौली नगरपालिका	2081
2523	2523	Purchaudi Muncipality	पुर्चौडी नगरपालिका	2081
2541	2541	Dhulikhel Municipality	धुलिखेल नगरपालिका	2033
2542	2542	Banepa Municipaity	बनेपा नगरपालिका	2033
2543	2543	Panuati Municipality	पनौती नगरपालिका	2033
2544	2544	Pachakhal Municipality	पाँचखाल नगरपालिका	2033
2058	2058	Arghakhanchi	अर्घाखाँची	2005
2474	2474	Gaidakot Municipality	गैडाकोट नगरपालिका	2053
2475	2475	Devchuli Municipality	देबचुली नगरपालिका	2053
2477	2477	Madyabindu Municipality	मध्यविन्दु नगरपालिका	2053
2409	2409	Krishnanagar Municipality	कृष्णनगर नगरपालिका	2056
2413	2413	Banganga Municipality	बाणगंगा नगरपालिका	2056
2494	2494	Kapilvastu Municipality	कपिलवस्तु नगरपालिका	2056
2385	2385	Sandhikharka Municipality	सन्धीखर्क नगरपालिका	2058
2388	2388	Sitaganga Municipality	शितगंगा नगरपालिका	2058
2392	2392	Bhumikasthan Municipality	भुमीकास्थान नगरपालिका	2058
2546	2546	Namabuddha  Municipality	नमोबुद्ध नगरपालिका	2033
2571	2571	Mandandeupur Municipality	मण्डनदेउपुर नगरपालिका	2033
2580	2580	Godhabari Municipality	गोदाबरी नगरपालिका	2041
2581	2581	Mahalaxmi Municipality	महालक्ष्मी नगरपालिका	2041
2584	2584	Badimalika Municipality	बडिमालीका नगरपालिका	2076
2585	2585	Tribeni Municipality	त्रिवेणी नगरपालिका	2076
2587	2587	Budignga Municipality	बुढीगंगा नगरपालिका	2076
2588	2588	Chagunarayan Municipality	चाँगुनारायण नगरपालिका	2040
2589	2589	Budhinanda Munucipality	बुढीनन्दा नगरपालिका	2076
2592	2592	Madhyapur Thimi Municipality	मध्यपुर थिमी नगरपालिका	2040
2597	2597	Kagesowari Manohara Municipality	कागेश्ररी मनोहरा नगरपालिका	2042
2602	2602	Chadragiri Municipality	चन्द्रागिरी नगरपालिका	2042
2603	2603	Tokha Municipality	टोखा नगरपालिका	2042
2606	2606	Nagarjun Municipality	नागार्जुन नगरपालिका	2042
2607	2607	JAYAPRITHVI MUNICIPALITY	जयपृथ्वी नगरपालिका	2077
2625	2625	Budhanilakantha Municipality	बुढानिलकण्ठ नगरपालिका	2042
2626	2626	BUNGAL MUNICIPALITY	बुंगल नगरपालिका	2077
2627	2627	Sanrapur Municipality	शङरापुर नगरपालिका	2042
2643	2643	Bidhur  Municipaltiy	बिदुर नगरपालिका	2036
2645	2645	Mangalsen  Municipality	मंगलसेन नगरपालिका	2079
2647	2647	Kamalbazar Municipality	कमलबजार नगरपालिका	2079
2649	2649	Saphebazar Municipality	साँफेबजार नगरपालिका	2079
2651	2651	Panchadebal Binayak Municipality	पंचदेवल विनायक नगरपालिका	2079
2662	2662	Dipayal silgadi Municipality	दिपायल सिलगढी नगरपालिका	2078
2664	2664	Shikhar Municipality	शिखर नगरपालिका	2078
2677	2677	Tikapur   Municipality	टिकापुर नगरपालिका	2084
2678	2678	Ghodaghodi Municipality	घोडाघोडी नगरपालिका	2084
2681	2681	Lamkichuha Municipality	लम्किचुहा नगरपालिका	2084
2683	2683	Bhajani Municipality	भजनी नगरपालिका	2084
2685	2685	Godawari Municipality	गोदावरी नगरपालिका	2084
2699	2699	Bhimdatta Municipality	भीमदत्त नगरपालिका	2083
2701	2701	Punarbas Municipality	पुनर्वास नगरपालिका	2083
2704	2704	Bedkot Municipality	बेदकोट नगरपालिका	2083
2706	2706	Mahakali Municipality	माहाकाली नगरपालिका	2083
2712	2712	Belauri Municipality	बेेलौरी नगरपालिका	2083
2713	2713	Krishnapur Municipality	कृष्णपुर नगरपालिका	2083
2719	2719	Mahakali Municipality	महाकाली नगरपालिका	2080
2720	2720	Shailyashikhar Municipality	शैल्यशिखर नगरपालिका	2080
2732	2732	Bharatpur  Metropolitian	भरतपुर महानगरपालिका	2038
2735	2735	Kalika Municipality	कालिका नगरपालिका	2038
2604	2604	Tarakeshowar Municipality	तारकेश्वर नगरपालिका	2042
2547	2547	Churjahari  Municipality	चौरजहारी नगरपालिका	2066
2568	2568	Aathabiskot Municipality	आठबिसकोट नगरपालिका	2066
2644	2644	Belakotgadhi Municipality	बेलकोटगढी नगरपालिका	2036
2674	2674	Dhunibeshi Municipality	धुनीर्बेशी नगरपालिका	2037
2679	2679	Nilkandha Municipality	निलकण्ठ नगरपालिका	2037
2736	2736	Khairahani Municipality	खैरहनी नगरपालिका	2038
2590	2590	Bhaktapur Municipality	भक्तपुर नगरपालिका	2040
2593	2593	Suryabinayak Municipality	सुर्यबिनायक नगरपालिका	2040
2738	2738	Madhi  Municipaltiy	माडी नगरपालिका	2038
2778	2778	Madhenepali Municipaltiy	मध्यनेपाल नगरपालिका	2044
2784	2784	Berendranagar Municipality	वीरेन्द्रनगर नगरपालिका	2075
2785	2785	Bheriganga Municipality	भेरीगंगा नगरपालिका	2075
2788	2788	Gurbhakot Municipality	गुर्भाकोट नगरपालिका	2075
2814	2814	Panshapuri Municipality	पश्रपुरी नगरपालिका	2075
2817	2817	Lekbeshi Municipality	लेकबेशी नगरपालिका	2075
2831	2831	Narayana Municipality	नारायण नगरपालिका	2074
2832	2832	Dullu Municipality	दुल्लु नगरपालिका	2074
2833	2833	Camunda bindrasaini Municipality	चामुण्डा विन्द्रासैनी नगरपालिका	2074
2605	2605	Dakshinkali Municipality	दक्षिणकाली नगरपालिका	2042
2834	2834	Aathabis Municipality	आठबिस नगरपालिका	2074
2883	2883	Bheri Municipality	भेरी नगरपालिका	2073
2884	2884	Chedagad Municipality	छेडागाड नगरपालिका	2073
2895	2895	Thulibheri Municipality	ठुलीभेरी नगरपालिका	2068
2896	2896	Tripurasundari Muncipality	त्रिपुरासुन्दरी नगरपालिका	2068
2918	2918	Candannatha Municipality	चन्दननाथ नगरपालिका	2069
2934	2934	Khadachakra Municipality	खाँडाचक्र नगरपालिका	2072
2935	2935	Raskot Municipality	रास्कोट नगरपालिका	2072
2936	2936	Tilagufa Municipality	तिलागुफा नगरपालिका	2072
2983	2983	Kushma Municipality	कुश्मा नगरपालिका	2049
2984	2984	Falebash Municipality	फलेवास नगरपालिका	2049
2988	2988	Chayanatha rara Municipality	छायाँनाथ रारा नगरपालिका	2070
3005	3005	Baglung Municipality	बागलुङ नगरपालिका	2052
2579	2579	Lalitapur Metropolian	ललितपुर महानगरपालिका	2041
2071	2071	Humla	हुम्ला	2006
2059	2059	Gulmi	गुल्मी	2005
2743	2743	Rapti Municipality	राप्ती नगरपालिका	2038
2741	2741	Ratnanagar Municipality	रत्रनगर नगरपालिका	2038
2751	2751	Palungatar  Municipality	पालुङटार नगरपालिका	2043
2777	2777	Beshisahara Municipality	बेसीशहर नगरपालिका	2044
2779	2779	Rainas Municipality	राईनास नगरपालिका	2044
2780	2780	Sundarbazar Municipality	सुन्दरबजार नगरपालिका	2044
2793	2793	Bhanu Municipality	भानु नगरपालिका	2045
2856	2856	Galayanga Municipality	गल्याङ नगरपालिका	2050
2874	2874	Chapakot Municipality	चापाकोट नगरपालिका	2050
2877	2877	Putalibazzar Municipality	पुतलीबजार नगरपालिका	2050
2881	2881	Virakot Municipality	भिरकोट नगरपालिका	2050
2963	2963	Waling Municipality	बालिङ नगरपालिका	2050
2072	2072	Kalikot	कालिकोट	2006
2073	2073	Jajarkot	जाजरकोट	2006
2074	2074	Dailekh	दैलेख	2006
3021	3021	Carkheli  Rural Municipality	च	2071
2008	2008	Taplejung	ताप्लेजुङ्ग	2001
2009	2009	Panchthar	पाँचथर	2001
2010	2010	Ilam	इलाम	2001
2011	2011	Sankhuwasabha	संखुवासभा	2001
2012	2012	Terhathum	तेह्रथुम	2001
2013	2013	Dhankuta	धनकुटा	2001
2014	2014	Bhojpur	भोजपुर	2001
2015	2015	Khotang	खोटाङ	2001
2016	2016	Solukhumbu	सोलुखुम्बु	2001
2017	2017	Okhaldhunga	ओखलढुङ्गा	2001
2018	2018	Udayapur	उदयपुर	2001
2019	2019	Jhapa	झापा	2001
2020	2020	Morang	मोरङ	2001
2021	2021	Sunsari	सुनसरी	2001
2022	2022	Saptari	सप्तरी	2002
2023	2023	Siraha	सिराहा	2002
2024	2024	Dhanusha	धनुषा	2002
2025	2025	Mahottari	महोत्तरी	2002
2026	2026	Sarlahi	सर्लाही	2002
2027	2027	Rautahat	रौतहट	2002
2028	2028	Bara	बारा	2002
2029	2029	Parsa	पर्सा	2002
2030	2030	Dolakha	दोलखा	2003
2031	2031	Ramechhap	रामेछाप	2003
2032	2032	Sindhuli	सिन्धुली	2003
2033	2033	Kavrepalanchok	काभ्रेपलाञ्चोक	2003
2034	2034	Sindhupalchok	सिन्धुपाल्चोक	2003
2035	2035	Rasuwa	रसुवा	2003
2036	2036	Nuwakot	नुवाकोट	2003
2037	2037	Dhading	धादिङ	2003
2038	2038	Chitwan	चितवन	2003
2039	2039	Makawanpur	मकवानपुर	2003
2040	2040	Bhaktapur	भक्तपुर	2003
2041	2041	Lalitpur	ललितपुर	2003
2043	2043	Gorkha	गोरखा	2004
2044	2044	Lamjung	लमजुङ	2004
2045	2045	Tanahun	तनहुँ	2004
2046	2046	Kaski	कास्की	2004
2047	2047	Manang	मनाङ	2004
2048	2048	Mustang	मुस्ताङ	2004
2049	2049	Parbat	पर्वत	2004
2050	2050	Syangja	स्याङजा	2004
2051	2051	Myagdi	म्याग्दी	2004
2052	2052	Baglung	बाग्लुङ	2004
2053	2053	Nawalparasi (Eastern Part from Bardaghat Susta)	नवलपरासी (बर्दघाट सुस्ता पूर्व)	2004
2054	2054	Nawalparasi (Western Part from Bardaghat Susta)	नवलपरासी (बर्दघाट सुस्ता पश्चिम)	2005
2055	2055	Rupandehi	रूपन्देही	2005
2056	2056	Kapilvastu	कपिलबस्तु	2005
2057	2057	Palpa	पाल्पा	2005
2060	2060	Rukum (Eastern Part)	रूकुम (पूर्वी भाग)	2005
2061	2061	Rolpa	रोल्पा	2005
2062	2062	Pyuthan	प्यूठान	2005
2063	2063	Dang	दाङ	2005
2064	2064	Banke	बाँके	2005
2065	2065	Bardiya	बर्दिया	2005
2066	2066	Rukum (Western Part)	रूकुम (पश्चिम भाग)	2006
2067	2067	Salyan	सल्यान	2006
2068	2068	Dolpa	डोल्पा	2006
2069	2069	Jumla	जुम्ला	2006
2070	2070	Mugu	मुगु	2006
2075	2075	Surkhet	सुर्खेत	2006
2076	2076	Bajura	बाजुरा	2007
2077	2077	Bajhang	बझाङ	2007
2078	2078	Doti	डोटी	2007
2079	2079	Achham	अछाम	2007
2080	2080	Darchula	दार्चुला	2007
2081	2081	Baitadi	बैतडी	2007
2082	2082	Dadeldhura	डडेल्धुरा	2007
2083	2083	Kanchanpur	कञ्चनपुर	2007
2084	2084	Kailali	कैलाली	2007
2087	2087	Sidingwa  Rural Municipaltiy	सिदिङवा गाउँपालिका	2008
2088	2088	Phaktanglung Rural Municipaltiy	फक्ताङलुङ गाउँपालिका	2008
2042	2042	Kathmandu	काठमाडौं	2003
2089	2089	Mikwakhola Rural Municipaltiy	मिक्वाखोला गाउँपालिका	2008
2090	2090	Meringden Rural Municipaltiy	मेिरङदेन गाउँपालिका	2008
2094	2094	Shirijagha Rural Muncipality	सिरीजङा गाउँपालीका	2008
2095	2095	Phalelung Rural Municipality	फालेलुङ गाउँपालिका	2009
2096	2096	Hilihang Rural Municipality	हिलिहाङ गाउँपालिका	2009
2098	2098	Kummayak Rural Municipality	कुम्मायक गाउँपालिका	2009
2099	2099	Miklagung Rural Municipality	मिक्लाजुङ गाउँपालिका	2009
2101	2101	Yangworak Rural Municipality	याङवरक गाउँपालिका	2009
2105	2105	Phakpohkthum Rural Municipaltiy	फाकफोकथुम गाउँपालिका	2010
2107	2107	Chulachuli Rural Municipaltiy	चुलाचुली गाउँपालिका	2010
2108	2108	Maeejogmai  Rural Municipaltiy	माईजोगमाई गाउँपालिका	2010
2109	2109	Mangsebung Rural Municipaltiy	माङसेवुङ गाउँपालिका	2010
2110	2110	Rong Rural Municipaltiy	रोङ गाउँपालिका	2010
2114	2114	Damka Muncipality	दमक नगरपालीका	2019
2124	2124	Buddhashanti Rural Municipality	बुद्धशान्ती गाउँपालिका	2019
2125	2125	Haldibari Rural Municipality	हल्दीवारी गाउँपालिका	2019
2093	2093	Phidim Municipality	फिदिम नगरपालिका	2009
2136	2136	Budhiganga  Rural Municipaltiy	बुढीगँगा गाउँपालिका	2020
2137	2137	Dhanpalthan Rural Municipaity	धनपालथान गाउँपालिका	2020
2140	2140	Jahada Rural Municipaltiy	जहदा गाउँपालिका	2020
2092	2092	Pathivara Yankwarak Rural Municipaltiy	पाथीभरा याङवरक गाउँपालिका	2008
2086	2086	Aathrai Tribeni Rural Municipaltiy	अठराई त्रिवेणी गाउँपालीका	2008
2091	2091	Maiwakhola Rural Minicipality	मैवाखोला गाउँपालिका	2008
2097	2097	Falgunanda Rural Minicipality	फाल्गुनन्द गाउँपालिका	2009
2100	2100	Tumbewa Rural Minicipality	तुम्बेबा गाँउपालिका	2009
2111	2111	Sandakpur Rural Minicipality	सन्दकपुर गाउँपालिका	2010
2116	2116	Arjundhara Municipality	अजुर्नधारा नगरपालीका	2019
2119	2119	Kamal Rural Municipality	कमल गाउँपालिका	2019
2121	2121	Gauri Gunj Rural Municipality	गौरीगज गाउँपालिका	2019
2122	2122	Baradashi Rural Municipality	बाह्रदशी गाउँपालिका	2019
2123	2123	Jhapa Rural Municipality	झापा गाउँपालिका	2019
2141	2141	kanepokhari Rural Municipaltiy	कानेपोखरी गाउँपालिका	2020
2146	2146	Katahari Rural Municipaltiy	कटहरी गाउँपालीका	2020
2147	2147	kerabari  Rural Municipaltiy	केराबारी गाउँपालिका	2020
2148	2148	Miklagunj Rural Municipaltiy	मिक्लाजुङ गाउँपालिका	2020
2154	2154	Banglachuli Rural Municipaltiy	बंगलाचुली गाउँपालिका	2063
2157	2157	Dangisaran Rural Municipaltiy	दंगीशरण गाउँपालिका	2063
2158	2158	Debanganja Rural Municipality	देवानगन्ज गाउँपालिका	2021
2160	2160	Gadhawa Rural Municipaltiy	गढवा गाउँपालिका	2063
2161	2161	Rajpur Rural Municipaltiy	राजपुर गाउँपालिका	2063
2162	2162	Gadhi Rural Municipaltiy	गढी गाउँपालिका	2021
2163	2163	Rapti Rural Municipaltiy	राप्ती गाउँपालिका	2063
2165	2165	Barju Rural Municipaltiy	बर्जु गाउँपालिका	2021
2166	2166	Shantinagar Rural Municipaltiy	शान्तिनगर गाउँपालिका	2063
2167	2167	Babai Rural Municipaltiy	बबई गाउँपालिका	2063
2169	2169	Dhankuta Municipality	धनकुटा नगरपालीका	2013
2173	2173	Narainapur  Rural Municipality	नरैनापुर गाउँपालिका	2064
2174	2174	Mahalaxmi Municipality	महालक्ष्मी नगरपालीका	2013
2175	2175	Raptisonari  Rural Municipality	राप्तीसोनारी गाउँपालिका	2064
2177	2177	Baijanath  Rural Municipality	बैजनाथ गाउँपालिका	2064
2178	2178	Saguragadhi Rural Municipality	सागुँरीगढी गाउँपालिका	2013
2179	2179	Laligurasa  Municipaltiy	लालीगुरास नगरपालीका	2012
2180	2180	Khajura  Rural Municipality	खजुरा गाउँपालिका	2064
2181	2181	Duduwa  Rural Municipality	डुडुवा गाउँपालिका	2064
2182	2182	Aatharai Rural Municipaltiy	आठराई गाउँपालिका	2012
2184	2184	Janaki  Rural Municipality	जानकी गाउँपालिका	2064
